Date_dd/mm/yyyy_hours  Time(hours)  Outlet_Discharge(m3/s)
02/01/1980_17:18:54         41.31507778          7.46027110
02/01/1980_18:18:54         42.31507778          7.52923114
02/01/1980_19:18:54         43.31507778          7.60525493
02/01/1980_20:18:54         44.31507778          7.68904091
02/01/1980_21:18:54         45.31507778          7.78128799
02/01/1980_22:18:54         46.31507778          7.88267923
02/01/1980_23:18:54         47.31507778          7.99383956
03/01/1980_00:15:59         48.26656744          8.11263286
03/01/1980_00:40:33         48.67603232          8.16965839
03/01/1980_01:05:07         49.08549719          8.22917090
03/01/1980_01:29:41         49.49496207          8.29195890
03/01/1980_01:54:15         49.90442695          8.35841274
03/01/1980_02:18:50         50.31389183          8.42881452
03/01/1980_02:43:24         50.72335671          8.50341675
03/01/1980_03:07:58         51.13282159          8.58248568
03/01/1980_03:32:32         51.54228647          8.66632868
03/01/1980_03:57:06         51.95175135          8.75531229
03/01/1980_04:21:40         52.36121623          8.84987014
03/01/1980_04:46:14         52.77068110          8.95051396
03/01/1980_05:10:48         53.18014598          9.05783985
03/01/1980_05:35:22         53.58961086          9.17254397
03/01/1980_05:59:56         53.99907574          9.29543338
03/01/1980_06:24:30         54.40854062          9.42743922
03/01/1980_06:49:04         54.81800550          9.56963365
03/01/1980_07:13:38         55.22747038          9.72323494
03/01/1980_07:38:12         55.63693526          9.88961405
03/01/1980_08:02:47         56.04640013         10.07028271
03/01/1980_08:27:21         56.45586501         10.26686702
03/01/1980_08:51:55         56.86532989         10.48107202
03/01/1980_09:16:29         57.27479477         10.71461379
03/01/1980_09:41:03         57.68425965         10.96914038
03/01/1980_10:05:37         58.09372453         11.24612656
03/01/1980_10:30:11         58.50318941         11.54677329
03/01/1980_10:54:45         58.91265429         11.87188860
03/01/1980_11:19:19         59.32211916         12.22180371
03/01/1980_11:43:53         59.73158404         12.59628435
03/01/1980_12:08:27         60.14104892         12.99450867
03/01/1980_12:33:01         60.55051380         13.41507319
03/01/1980_12:57:35         60.95997868         13.85604867
03/01/1980_13:22:10         61.36944356         14.31507250
03/01/1980_13:46:44         61.77890844         14.78947783
03/01/1980_14:11:18         62.18837332         15.27644450
03/01/1980_14:35:52         62.59783819         15.77312611
03/01/1980_15:00:26         63.00730307         16.27678657
03/01/1980_15:25:00         63.41676795         16.78489717
03/01/1980_15:49:34         63.82623283         17.29520948
03/01/1980_16:14:08         64.23569771         17.80579796
03/01/1980_16:38:42         64.64516259         18.31506347
03/01/1980_17:03:16         65.05462747         18.82173174
03/01/1980_17:27:50         65.46409235         19.32482135
03/01/1980_17:52:24         65.87355722         19.82361252
03/01/1980_18:16:58         66.28302210         20.31760494
03/01/1980_18:41:32         66.69248698         20.80647282
03/01/1980_19:06:07         67.10195186         21.29002959
03/01/1980_19:30:41         67.51141674         21.76818216
03/01/1980_19:55:15         67.92088162         22.24091361
03/01/1980_20:19:49         68.33034650         22.70824186
03/01/1980_20:44:23         68.73981138         23.17020653
03/01/1980_21:08:57         69.14927625         23.62685991
03/01/1980_21:33:31         69.55874113         24.07824901
03/01/1980_21:58:05         69.96820601         24.52440911
03/01/1980_22:22:39         70.37767089         24.96536348
03/01/1980_22:47:13         70.78713577         25.40112698
03/01/1980_23:11:47         71.19660065         25.83169901
03/01/1980_23:36:21         71.60606553         26.25706260
04/01/1980_00:02:09         72.03600365         26.69676599
04/01/1980_00:29:14         72.48743868         27.14046185
04/01/1980_00:57:41         72.96144546         27.59331806
04/01/1980_01:27:32         73.45915258         28.05052589
04/01/1980_01:58:54         73.98174505         28.50530886
04/01/1980_02:31:49         74.53046715         28.94758804
04/01/1980_03:06:23         75.10662536         29.36273623
04/01/1980_03:42:41         75.71159147         29.73133607
04/01/1980_04:20:48         76.34680589         30.03068006
04/01/1980_05:00:49         77.01378103         30.23806851
04/01/1980_05:42:50         77.71410493         30.33507873
04/01/1980_06:26:58         78.44944502         30.31127522
04/01/1980_07:13:17         79.22155212         30.16577652
04/01/1980_08:01:56         80.03226457         29.90742247
04/01/1980_08:53:00         80.88351265         29.55234770
04/01/1980_09:46:38         81.77732313         29.12006338
04/01/1980_10:42:56         82.71582413         28.63120025
04/01/1980_11:42:04         83.70125018         28.10488514
04/01/1980_12:42:04         84.70125018         27.57459628
04/01/1980_13:42:04         85.70125018         27.05888402
04/01/1980_14:42:04         86.70125018         26.56383175
04/01/1980_15:42:04         87.70125018         26.09176441
04/01/1980_16:42:04         88.70125018         25.64364236
04/01/1980_17:42:04         89.70125018         25.21938369
04/01/1980_18:42:04         90.70125018         24.81764899
04/01/1980_19:42:04         91.70125018         24.43732398
04/01/1980_20:42:04         92.70125018         24.07730056
04/01/1980_21:42:04         93.70125018         23.73589022
04/01/1980_22:42:04         94.70125018         23.41193696
04/01/1980_23:42:04         95.70125018         23.10450009
05/01/1980_00:42:04         96.70125018         22.80689757
05/01/1980_01:42:04         97.70125018         22.51738891
